time_offset_s,frame_len,src_ip,dst_ip,src_port,dst_port,sfu_direction_from_sfu,media_type_byte,media_type_label,media_sequence,media_timestamp,frame_seq,frame_pkt_count,is_active_media_signal
3.466253,1007,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19164,274795416,25797,1,true
3.466264,1007,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19164,274795416,25797,1,true
3.494247,1258,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6580,1136574056,14635,8,true
3.494251,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6581,1136574056,14635,8,true
3.494255,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6582,1136574056,14635,8,true
3.494259,1258,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6580,1136574056,14635,8,true
3.494261,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6581,1136574056,14635,8,true
3.494265,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6582,1136574056,14635,8,true
3.494276,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6583,1136574056,14635,8,true
3.494284,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6583,1136574056,14635,8,true
3.494296,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6584,1136574056,14635,8,true
3.494298,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6585,1136574056,14635,8,true
3.494304,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6584,1136574056,14635,8,true
3.494306,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6585,1136574056,14635,8,true
3.494318,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6586,1136574056,14635,8,true
3.494321,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6587,1136574056,14635,8,true
3.494325,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6586,1136574056,14635,8,true
3.494332,1257,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6587,1136574056,14635,8,true
3.494334,1289,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6588,1136574056,14635,8,true
3.494337,1289,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6588,1136574056,14635,8,true
3.497532,608,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19165,274795447,25798,4,true
3.497541,607,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19166,274795447,25798,4,true
3.497553,608,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19165,274795447,25798,4,true
3.497557,607,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19167,274795447,25798,4,true
3.497563,607,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19166,274795447,25798,4,true
3.497570,607,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19168,274795447,25798,4,true
3.497576,607,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19167,274795447,25798,4,true
3.497582,607,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19168,274795447,25798,4,true
3.534991,1093,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6589,1136574096,14639,5,true
3.534998,1093,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6590,1136574096,14639,5,true
3.535000,1093,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6589,1136574096,14639,5,true
3.535006,1093,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6590,1136574096,14639,5,true
3.535008,1093,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6591,1136574096,14639,5,true
3.535016,1093,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6591,1136574096,14639,5,true
3.535025,1093,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6592,1136574096,14639,5,true
3.535033,1093,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6592,1136574096,14639,5,true
3.535035,1093,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6593,1136574096,14639,5,true
3.535041,1093,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6593,1136574096,14639,5,true
3.536869,174,170.114.107.187,10.184.29.164,8801,52369,true,7,other,251,2416972036,36864,1,false
3.536872,174,170.114.107.187,10.184.29.164,8801,52369,true,7,other,251,2416972036,36864,1,false
3.536938,137,170.114.107.187,10.184.29.164,8801,64426,true,21,unknown_21,1,28704771,924,96,false
3.536949,137,170.114.107.187,10.184.29.164,8801,64426,true,21,unknown_21,1,28704771,924,96,false
3.545479,1272,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6594,1136574106,14641,13,true
3.545488,1272,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6594,1136574106,14641,13,true
3.551451,712,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19169,274795501,25799,1,true
3.551458,712,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19169,274795501,25799,1,true
3.551460,1216,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19170,274795501,25800,1,true
3.551471,1216,10.184.29.164,170.114.107.187,64426,8801,false,16,video,19170,274795501,25800,1,true
3.555803,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6596,1136574116,14641,13,true
3.555807,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6597,1136574116,14641,13,true
3.555811,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6598,1136574116,14641,13,true
3.555814,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6596,1136574116,14641,13,true
3.555816,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6599,1136574116,14641,13,true
3.555818,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6597,1136574116,14641,13,true
3.555819,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6600,1136574116,14641,13,true
3.555823,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6598,1136574116,14641,13,true
3.555825,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6599,1136574116,14641,13,true
3.555827,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6600,1136574116,14641,13,true
3.560973,84,10.184.29.164,170.114.107.187,64426,8801,false,21,unknown_21,513,50331929,0,3,false
3.560977,84,10.184.29.164,170.114.107.187,64426,8801,false,21,unknown_21,513,50331929,0,3,false
3.560980,84,10.184.29.164,170.114.107.187,64426,8801,false,21,unknown_21,513,50331929,0,3,false
3.560981,84,10.184.29.164,170.114.107.187,64426,8801,false,21,unknown_21,513,50331929,0,3,false
3.560984,84,10.184.29.164,170.114.107.187,64426,8801,false,21,unknown_21,513,50331929,0,3,false
3.560986,84,10.184.29.164,170.114.107.187,64426,8801,false,21,unknown_21,513,50331929,0,3,false
3.565616,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6601,1136574126,14641,13,true
3.565618,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6602,1136574126,14641,13,true
3.565626,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6601,1136574126,14641,13,true
3.565630,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6602,1136574126,14641,13,true
3.565631,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6603,1136574126,14641,13,true
3.565639,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6603,1136574126,14641,13,true
3.565651,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6604,1136574126,14641,13,true
3.565653,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6605,1136574126,14641,13,true
3.565662,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6604,1136574126,14641,13,true
3.565663,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6605,1136574126,14641,13,true
3.565668,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6606,1136574126,14641,13,true
3.565674,1271,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6606,1136574126,14641,13,true
3.576020,1303,170.114.107.187,10.184.29.164,8801,64426,true,16,video,6607,1136574136,14641,13,true
