time_offset_s,frame_len,src_ip,dst_ip,src_port,dst_port,sfu_direction_from_sfu,media_type_byte,media_type_label,media_sequence,media_timestamp,frame_seq,frame_pkt_count,is_active_media_signal
3.464987,119,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58474,8801,,23,other,6151,2889586,62705,11,false
3.465008,119,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58474,8801,,23,other,6151,2889586,62705,11,false
3.467854,643,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27028,37249773,62318,159,false
3.467869,643,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27028,37249773,62318,159,false
3.477996,643,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27029,37237509,1374,100,false
3.478020,643,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27029,37237509,1374,100,false
3.478340,643,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27030,37242496,30896,112,false
3.478347,643,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27031,37285938,61698,11,false
3.478355,643,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27030,37242496,30896,112,false
3.478365,643,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27031,37285938,61698,11,false
3.478579,643,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27032,37242412,60501,167,false
3.478592,643,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27032,37242412,60501,167,false
3.480457,387,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58474,,23,other,7050,20452231,20666,252,false
3.480459,387,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58474,,23,other,7050,20452231,20666,252,false
3.481539,119,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22984,2917790,45979,244,false
3.481588,119,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22984,2917790,45979,244,false
3.482089,119,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22985,2920588,20139,100,false
3.482099,119,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22985,2920588,20139,100,false
3.487975,1255,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22986,77369995,55099,118,false
3.487981,1255,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22986,77369995,55099,118,false
3.488020,1255,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22987,77388903,2138,11,false
3.488026,1255,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22987,77388903,2138,11,false
3.490963,235,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58474,8801,,23,other,6152,10542778,65284,39,false
3.490991,235,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58474,8801,,23,other,6152,10542778,65284,39,false
3.491617,119,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27033,2942795,50364,168,false
3.491637,119,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27033,2942795,50364,168,false
3.497733,1143,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22988,70005463,40004,247,false
3.497741,1143,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22988,70005463,40004,247,false
3.499058,399,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58474,,23,other,7051,21296027,53028,1,false
3.499060,399,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58474,,23,other,7051,21296027,53028,1,false
3.500611,119,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22989,2926401,49734,8,false
3.500615,119,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22989,2926401,49734,8,false
3.502283,119,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27034,2948211,11409,120,false
3.502298,119,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,2407:30c0:106:900:459b:81a2:2f8e:563,58477,8801,,23,other,27034,2948211,11409,120,false
3.510789,1255,2407:30c0:106:900:459b:81a2:2f8e:563,2001:df4:e000:3fd2:71a3:ceb8:e1:e5cb,8801,58477,,23,other,22990,77342566,32129,45,false
