time_offset_s,frame_len,src_ip,dst_ip,src_port,dst_port,sfu_direction_from_sfu,media_type_byte,media_type_label,media_sequence,media_timestamp,frame_seq,frame_pkt_count,is_active_media_signal
10.075154,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815497,3,232,false
10.075957,86,206.247.138.4,10.184.24.3,8801,47915,,2,other,14000,2808078950,52124,0,false
10.077205,86,206.247.138.4,10.184.24.3,8801,60515,,2,other,5875,805734667,52125,0,false
10.082396,86,206.247.138.4,10.184.24.3,8801,51667,,2,other,31375,3488343149,52128,0,false
10.083395,86,206.247.138.4,10.184.24.3,8801,52019,,2,other,49693,1030762627,52127,0,false
10.084469,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815498,3,232,false
10.084543,1078,10.184.24.3,206.247.138.4,50040,8801,false,21,unknown_21,13057,234815488,3,232,false
10.084554,1078,10.184.24.3,206.247.138.4,50040,8801,false,21,unknown_21,13057,234815489,3,232,false
10.092122,86,206.247.138.4,10.184.24.3,8801,35579,,2,other,37710,1573592422,52129,0,false
10.095003,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815499,3,232,false
10.105211,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815500,3,232,false
10.117531,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815501,3,232,false
10.117601,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815502,3,232,false
10.125609,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815503,3,232,false
10.126189,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815504,3,232,false
10.126189,165,206.247.138.4,10.184.24.3,8801,50040,true,13,screen_share_server,60589,3727948187,259,0,true
10.146097,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815505,3,232,false
10.146185,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815506,3,232,false
10.146293,229,10.184.24.3,206.247.138.4,45962,8801,false,12,other,60589,3727948187,513,0,false
10.146309,243,10.184.24.3,206.247.138.4,51667,8801,false,7,other,49152,33554444,23373,236,false
10.146320,243,10.184.24.3,206.247.138.4,47824,8801,false,7,other,49152,33554444,23373,236,false
10.146338,236,10.184.24.3,206.247.138.4,60515,8801,false,7,other,28888,3055771739,39711,66,false
10.146383,1078,10.184.24.3,206.247.138.4,50040,8801,false,21,unknown_21,13057,234815490,3,232,false
10.146394,1078,10.184.24.3,206.247.138.4,50040,8801,false,21,unknown_21,13057,234815491,3,232,false
10.146405,1078,10.184.24.3,206.247.138.4,50040,8801,false,21,unknown_21,13057,234815492,3,232,false
10.146419,1078,10.184.24.3,206.247.138.4,50040,8801,false,21,unknown_21,13057,234815493,3,232,false
10.146438,1078,10.184.24.3,206.247.138.4,50040,8801,false,21,unknown_21,13057,234815494,3,232,false
10.149192,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815507,3,232,false
10.166618,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815508,3,232,false
10.166680,236,10.184.24.3,206.247.138.4,47824,8801,false,13,screen_share_server,28888,3055771739,39711,66,true
10.166683,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815509,3,232,false
10.166695,236,10.184.24.3,206.247.138.4,51667,8801,false,13,screen_share_server,28888,3055771739,39711,66,true
10.197727,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815510,3,232,false
10.197791,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815511,3,232,false
10.197814,1085,10.184.24.3,206.247.138.4,50040,8801,false,7,other,0,515,1792,143,false
10.197828,1078,10.184.24.3,206.247.138.4,50040,8801,false,21,unknown_21,13057,234815496,3,232,false
10.197834,1078,10.184.24.3,206.247.138.4,50040,8801,false,21,unknown_21,13057,234815497,3,232,false
10.197839,1078,10.184.24.3,206.247.138.4,50040,8801,false,21,unknown_21,13057,234815498,3,232,false
10.198626,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815512,3,232,false
10.198626,165,206.247.138.4,10.184.24.3,8801,45962,true,13,screen_share_server,60589,3727948187,513,0,true
10.208218,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815513,3,232,false
10.208292,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815514,3,232,false
10.218245,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815515,3,232,false
10.218280,236,10.184.24.3,206.247.138.4,47824,8801,false,13,screen_share_server,28888,3055771739,39711,66,true
10.218290,236,10.184.24.3,206.247.138.4,51667,8801,false,13,screen_share_server,28888,3055771739,39711,66,true
10.218316,1078,206.247.138.4,10.184.24.3,8801,50040,true,21,unknown_21,13057,234815516,3,232,false
